公司名称,公司编码,公司类型
易转运,ezhuanyuan,国际运输商
加拿大联通快运,fastontime,国际运输商
Fastway New Zealand,fastway_nz,国际运输商
Fastway South Africa,fastway_za,国际运输商
正途供应链,fastzt,国内运输商
FDS,fds,国际运输商
FedEx-英国件（FedEx UK),fedexuk,国际运输商
FedEx-英国件,fedexukcn,国际运输商
飞狐快递,feihukuaidi,国内运输商
斐济(Fiji Post),fiji,国际邮政
First Flight,firstflight,国际运输商
First Logistics,firstlogistics,国际运输商
Flextock,flextock,国际运输商
FODEL,fodel,国际运输商
四方格,fourpxus,国际运输商
FOX国际快递,fox,国际运输商
FQ狂派速递,freakyquick,国际运输商
法翔速运,ftlexpress,国内运输商
Gati-中文,gaticn,国际运输商
Gati-KWE,gatikwe,国际运输商
广东诚通物流,gdct56,国内运输商
全网物流,gdqwwl,国内运输商
容智快运,gdrz58,国内运输商
格鲁吉亚(Georgian Pos）,georgianpost,国际运输商
G EXpress,gexpress,国际运输商
加纳,ghanapost,国际邮政
环创物流,ghl,国内运输商
GHT物流,ghtexpress,国际运输商
GIZTIX,giztix,国际运输商
冠捷物流 ,gjwl,国内运输商
globaltracktrace,globaltracktrace,国际运输商
GLSItaly,glsitaly,国际运输商
英脉物流,gml,国内运输商
GOGOX,gogox,国际运输商
gojavas,gojavas,国际运输商
Grab,grab,国际运输商
潍鸿,grivertek,国际运输商
哥士传奇速递,gscq365,国内运输商
德尚国际速递,gslexpress,国际运输商
GTT EXPRESS快递,gttexpress,国内运输商
永邦快递,guangdongyongbang,国内运输商
冠庭国际物流,guanting,国际运输商
根西岛,guernsey,国际邮政
国顺达物流,guoshunda,国内运输商
圭亚那,guyana,国际邮政
宏观国际快递,gvpexpress,国际运输商
贵州星程快递,gzxingcheng,国内运输商
货六六,h66,国内运输商
海红for买卖宝,haihongmmb,国际运输商
海盟速递,haimengsudi,国内运输商
海星桥快递,haixingqiao,国内运输商
海中转运,haizhongzhuanyun,国内运输商
汉邦国际速递,handboy,国际运输商
翰丰快递,hanfengjl,国内运输商
航宇快递,hangyu,国内运输商
Hanjin,hanjin,国际运输商
汉信快递,hanxin,国内运输商
亚美尼亚(Haypost-Armenian Postal),haypost,国际邮政
Hermes Germany,hermes_de,国际运输商
Hermesworld,hermesworld,国际运输商
环国运物流,hgy56,国内运输商
华瀚快递,hhair56,国内运输商
Highway,highway,国际运输商
猴急送,hjs,国内运输商
飞豹速递,hkeex,国内运输商
共联配,hlpgyl,国内运输商
顺时达物流,hnssd56,国内运输商
益企发物流,hnyqf,国内运输商
中强物流,hnzqwl,国内运输商
Holisol,holisollogistics,国际运输商
洪都拉斯,honduras,国际邮政
红背心,hongbeixin,国内运输商
宏捷国际物流,hongjie,国际运输商
红远物流,hongywl,国内运输商
海派国际速递,hpexpress,国际运输商
环球通达 ,hqtd,国际运输商
速远同城快递,hrbsydrd,国内运输商
卓烨快递,hrbzykd,国内运输商
高铁速递,hre,国内运输商
寰世达国际物流,hsdexpress,国际运输商
海硕高铁速递,hsgtsd,国内运输商
海淘物流,ht22,国内运输商
华达快运,huada,国内运输商
驼峰国际,humpline,国际运输商
匈牙利（Magyar Posta）,hungary,国际邮政
hunter Express,hunterexpress,国际运输商
兰州伙伴物流,huoban,国内运输商
户通物流,hutongwuliu,国内运输商
上海昊宏国际货物,hyk,国际运输商
恒宇运通,hyytes,国内运输商
华航快递,hzpl,国内运输商
IB Courier,ibcourier,国际运输商
冰岛(Iceland Post),iceland,国际邮政
ID Express,idexpress,国际运输商
泛太优达,iex,国内运输商
无限速递,igcaexpress,国内运输商
ILYANG,ilyang,国际运输商
iMile,imile,国际运输商
艾姆勒,imlb2c,国际运输商
印度(India Post),india,国际邮政
INDOPAKET,indopaket,国际运输商
多米尼加（INPOSDOM – Instituto Postal Dominicano）,inposdom,国际邮政
InPost Paczkomaty,inpost_paczkomaty,国际运输商
捷运达快递,interjz,国内运输商
Interlink Express,interlink,国际运输商
Interparcel,interparcel,国际运输商
伊朗（Iran Post）,iran,国际邮政
IXPRESS,ixpress,国际运输商
驿扬国际速运,iyoungspeed,国际运输商
牙买加（Jamaica Post）,jamaicapost,国际邮政
janio,janio,国际运输商
泽西岛,jerseypost,国际运输商
Jet Express,jetexpresseg,国际运输商
澳速通国际速递,jetexpressgroup,国际运输商
捷仕,jetstarexp,国内运输商
极兔国际中文,jetzh,国内运输商
佳家通货运,jiajiatong56,国内运输商
加佳物流,jiajiawl,国内运输商
捷世通物流,jieshitong,国内运输商
极光转运,jiguang,国际运输商
近端,jinduan,国内运输商
久易快递,jiuyicn,国内运输商
佳捷翔物流,jjx888,国内运输商
国迅物流,jmguoxun,国内运输商
JNE,jne,国际运输商
约旦(Jordan Post),jordan,国际邮政
极兔快递阿联酋,jtexpressae,国际运输商
J&T Express 泰国,jtexpressth,国际运输商
Jumia,jumia,国际运输商
聚盟物流,jumsz,国内运输商
集先锋快递,jxfex,国内运输商
Kaha Epress,kahaexpress,国际运输商
Kangaroo Express,kangaroo,国际运输商
康润物流,kangrun,国内运输商
哈萨克斯坦(Kazpost),kazpost,国际邮政
肯尼亚(POSTA KENYA),kenya,国际邮政
Kerry Express-泰国,kerrythailand,国际运输商
Kerry Express-泰国,kerrythailanden,国际运输商
启邦国际物流,keypon,国际运输商
Kuehne + Nagel,kn,国际运输商
淘韩国际快递,krtao,国际运输商
Kuehne+Nagel,kuehnenagel,国际运输商
KURASI,kurasi,国际运输商
凯信达,kxda,国内运输商
快运联盟,kylm360,国内运输商
吉尔吉斯斯坦(Kyrgyz Post),kyrgyzpost,国际邮政
蓝镖快递,lanbiaokuaidi,国内运输商
蓝弧快递,lanhukuaidi,国内运输商
老挝(Lao Express) ,lao,国际运输商
塞内加尔,laposte,国际邮政
LaserShip,lasership,国际运输商
拉脱维亚(Latvijas Pasts),latvia,国际运输商
拉脱维亚(Latvijas Pasts),latviaen,国际邮政
立白宝凯物流,lbbk,国内运输商
LBC Express,lbc56,国内运输商
禄昌物流,lc56,国内运输商
两点之间,ldzy168,国内运输商
乐达全球速递,ledaexpress,国内运输商
楽道物流,ledaowuliu,国内运输商
乐递供应链,ledii,国内运输商
云豹国际货运,leopard,国际运输商
莱索托(Lesotho Post),lesotho,国际邮政
美联快递,letseml,国内运输商
Laxship,lexship,国际运输商
联运快递,lianyun,国内运输商
黎巴嫩(Liban Post),libanpost,国际邮政
Lion Parcel,lionparcel,国际运输商
丽狮物流,lishi,国内运输商
Lite Express,lite56,国内运输商
润禾物流,liujiashen,国内运输商
Loadbugs,loadbugs,国际运输商
隆浪快递,longlangkuaidi,国内运输商
Loomis Express,loomisexpress,国际运输商
论道国际物流,lundao,国际运输商
卢森堡(Luxembourg Post),luxembourgde,国际运输商
卢森堡(Luxembourg Post),luxembourgfr,国际运输商
路尊物流,luzun,国内运输商
LWE,lwe,国际运输商
中国澳门(Macau Post),macao,国际邮政
马其顿(Macedonian Post),macedonia,国际邮政
Maersk,maersk,国际运输商
mailamericas,mailamericas,国内运输商
迈隆递运,mailongdy,国内运输商
Mainfreight,mainfreight,国际运输商
马耳他（Malta Post）,malta,国际邮政
芒果速递,mangguo,国内运输商
今枫国际快运,mapleexpress,国际运输商
MAS Courier Servic,mascourierservice,国际运输商
Matkahuolto,matkahuolto,国际运输商
毛里求斯(Mauritius Post),mauritius,国际邮政
澳洲迈速快递,maxeedexpress,国际运输商
木春货运,mchy,国际运输商
Middle East Courier service,mecs,国际运输商
金域达物流,med56,国际运输商
美邦国际快递,meibang,国际运输商
美达快递,meidaexpress,国内运输商
Merage ,merage,国际运输商
墨西哥（Correos de Mexico）,mexico,国际邮政
Mexico Senda Express,mexicodenda,国际运输商
名航速运,mhsy,国内运输商
银河物流,milkyway,国内运输商
Mitsui OSK Lines,mol,国际运输商
摩尔多瓦(Posta Moldovei),moldova,国际邮政
蒙古国(Mongol Post) ,mongolpost,国际邮政
黑山(Posta Crne Gore),montenegro,国际邮政
摩洛哥 ( Morocco Post ),morocco,国际邮政
MRW,mrw,国际运输商
中俄速通（淼信）,mxe56,国内运输商
mylerz,mylerz,国际运输商
新亚物流,nalexpress,国内运输商
纳米比亚(NamPost),namibia,国际邮政
NandanCourier,nandan,国际运输商
NAQEL Express,naqel,国际运输商
Nationex,nationex,国际运输商
早道佳,nbhtt,国内运输商
荷兰速递(Nederland Post),nederlandpost,国际邮政
尼泊尔（Nepal Postal Services）,nepalpost,国际邮政
Network Courier,networkcourier,国际运输商
Newgistics,newgistics,国际运输商
ninja xpress,ninjaxpress,国际运输商
Nippon Express,nipponexpress,国际运输商
NLE,nle,国际运输商
亚欧专线,nlebv,国际运输商
Nok Courier,nokcourier,国际运输商
Norsk Global,norsk_global,国际运输商
Nova Poshta,novaposhta,国际运输商
"诺客来	",nuokelai,国内运输商
偌亚奥国际快递,nuoyaao,国际运输商
诺信特快递,nxtwuliu,国内运输商
NYK Line,nyk,国际运输商
OCA Argentina,ocaargen,国际运输商
OC-Post,ocpost,国际运输商
?OCS ANA Group,ocsindia,国际运输商
阿曼(Oman Post),oman,国际邮政
无限配,omni2,国内运输商
Omni Parcel,omniparcel,国际运输商
爱沙尼亚(Eesti Post),omniva,国际邮政
One World Express,oneworldexpress,国际运输商
OPEK,opek,国际运输商
OPEX,opex,国际运输商
波音速递,overseaex,国内运输商
巴基斯坦(Pakistan Post),pakistan,国际邮政
巴拿马,panama,国际邮政
Pandu Logistics,pandulogistics,国内运输商
巴拉圭(Correo Paraguayo),paraguay,国际运输商
诚一物流,parcelchina,国际运输商
paxel,paxel,国际运输商
paxelen,paxelen,国际运输商
普畅物流,pcwl56,国内运输商
派尔快递,peex,国内运输商
配思货运,peisihuoyunkuaidi,国内运输商
陪行物流,peixingwuliu,国内运输商
佩奇集运,peppaship,国内运输商
Perfect Service,perfectservice,国际运输商
Presto,pesto,国际运输商
Parcel Freight Logistics,pflogistics,国际运输商
pickupp,pickupp,国际运输商
品速心达快递,pinsuxinda,国内运输商
品信快递,pinxinkuaidi,国内运输商
先锋国际快递,pioneer,国际运输商
葡萄牙（Portugal CTT）,portugalctten,国际运输商
Portugal Seur,portugalseur,国际运输商
POS INDONESIA,posindonesia,国际运输商
坦桑尼亚（Tanzania Posts Corporation）,posta,国际邮政
挪威（Posten Norge）,postennorge,国际邮政
巴布亚新几内亚(PNG Post),postpng,国际邮政
PP速运,ppsuyun,国内运输商
PT Prima Multi Cipta,primamulticipta,国际运输商
土耳其,ptt,国际邮政
启辰国际速递,qichen,国际运输商
秦远物流,qinyuan,国内运输商
卡塔尔（Qatar Post）,qpost,国际邮政
全速通,quansutong,国内运输商
Qxpress,qxpress,国际运输商
全之鑫物流,qzx56,国内运输商
R2S Logistics,r2slogistics,国际运输商
RAM,ramgroup_za,国际运输商
Rapido Cargo Egypt,rapidocargoeg,国际运输商
Redur,redur,国际运输商
Redur Spain,redur_es,国际运输商
仁速物流,rensu56,国内运输商
叙利亚(Syrian Post),republic,国际邮政
睿和泰速运,rhtexpress,国内运输商
锐界同城速递,rjtcsd,国内运输商
RL Carriers,rl_carriers,国际运输商
皇家国际速运,royal,国内运输商
rpx,rpx,国际运输商
日日通国际,rrthk,国际运输商
瑞典（Sweden Post）,ruidianyouzhengen,国际邮政
润百特货,runbail,国内运输商
卢旺达(Rwanda i-posita),rwanda,国际运输商
Safexpress,safexpress,国际运输商
佐川急便-英文,sagawaen,国际运输商
Correo El Salvador,salvador,国际邮政
萨摩亚(Samoa Post),samoa,国际邮政
三乐物流,sanle56,国内运输商
三盛快递,sanshengco,国内运输商
盛德国际墨西哥物流,sanstar,国内运输商
SAP EXPRESS,sapexpress,国际运输商
丰程物流,sccod,国内运输商
SCG,scglogistics,国际运输商
中加国际快递,scic,国际运输商
速佳达快运,scsujiada,国内运输商
四川星程快递,scxingcheng,国内运输商
首达速运,sdsy888,国内运输商
森鼎国际物流,sendinglog,国际运输商
Sendle,sendle,国际运输商
International Seur,seur,国际运输商
SFC,sfc,国际运输商
SFC Service,sfcservice,国际运输商
Shadowfax,shadowfax,国际运输商
穗航物流,shallexp,国内运输商
衫达快运,shanda56,国内运输商
尚橙物流,shangcheng,国内运输商
上海无疆for买卖宝,shanghaiwujiangmmb,国际运输商
尚途国际货运,shangtuguoji,国内运输商
山西建华,shanxijianhua,国内运输商
杰响物流,shbwch,国内运输商
商海德物流,shd56,国内运输商
神马快递,shenma,国内运输商
ShipBlu,shipblu,国际运输商
王牌快递,shipbyace,国内运输商
SHL畅灵国际物流,shlexp,国际运输商
wish邮,shpostwish,国际运输商
shreeanjanicourier,shreeanjanicourier,国际运输商
中外运空运,sinoairinex,国际运输商
Siodemka,siodemka,国际运输商
易普递,sixroad,国内运输商
Sky Express,skyexpresseg,国际运输商
SkyNet Malaysia,skynetmalaysia,国际运输商
荷兰Sky Post,skypost,国际邮政
Asendia HK (LATAM),skypostal,国际运输商
斯里兰卡(Sri Lanka Post),slpost,国际邮政
SMSA Express,smsaexpress,国际运输商
所罗门群岛,solomon,国际邮政
布基纳法索,sonapost,国际邮政
水趣到家,sooeasy,国内运输商
行必达,speeda,国内运输商
Speedaf,speedaf,国际运输商
 Speed Shipping Company,speedegypt,国际运输商
SpeedEx,speedex,国际运输商
Spoton,spoton,国际运输商
Sprint,sprint,国际运输商
首通快运,staky,国内运输商
星运快递,staryvr,国内运输商
圣卢西亚,stlucia,国际邮政
盛泰物流,stwles,国内运输商
速豹,subaoex,国内运输商
速呈宅配,sucheng,国内运输商
特急便物流,sucmj,国内运输商
苏丹（Sudapost）,sudapost,国际邮政
速配欧翼,superoz,国际运输商
苏里南,surpost,国际邮政
速通国际快运,sutongst,国际运输商
圣文森特和格林纳丁斯,svgpost,国际邮政
斯威士兰,swaziland,国际邮政
宇达物流,szyudawl,国内运输商
中时顺物流,szzss,国内运输商
Talabat ,talabat,国际运输商
坦桑尼亚(Tanzania Posts),tanzania,国际邮政
淘布斯国际物流,taoplus,国际运输商
淘特物流快递,taote,国内运输商
TCI XPS,tcixps,国际运输商
The BlueBhell Couriers,thebluebhellcouriers,国际运输商
The Courier Guy,thecourierguy,国际运输商
天翔快递,tianxiang,国内运输商
TIPSA,tipsa,国际运输商
Shree Tirupati,tirupati,国际运输商
天联快运,tlky,国内运输商
株式会社T.M.G,tmg,国内运输商
TNT UK,tntuk,国际运输商
多哥,togo,国际邮政
通达兴物流,tongdaxing,国内运输商
通和天下,tonghetianxia,国内运输商
顶世国际物流,topshey,国际运输商
The Professional Couriers,tpcindia,国际运输商
track-parcel,trackparcel,国际运输商
Trans Kargo,transkargologistics,国际运输商
Transporter Egypt,transporter,国际运输商
Turbo,turbo,国际运输商
海龟国际快递,turtle,国际运输商
UBX,ubx,国际运输商
欧洲UEX,uexiex,国际邮政
Ufelix,ufelix,国际运输商
乌干达(Posta Uganda),uganda,国际邮政
邮鸽速运,ugoexpress,国内运输商
优海国际速递,uhi,国际运输商
Uni Express,uniexpress,国际运输商
Union Courier SAE,unioncourier,国际运输商
United express courier service,unitedexpress,国际运输商
UParcel,uparcel,国际运输商
UPS Freight,upsfreight,国际运输商
UPS Mail Innovations,upsmailinno,国际运输商
速翼快递,usasueexpress,国内运输商
UTAO优到,utaoscm,国际运输商
乌兹别克斯坦(Post of Uzbekistan),uzbekistan,国际邮政
瓦努阿图(Vanuatu Post),vanuatu,国际邮政
越南小包(Vietnam Posts),vietnam,国际邮政
鹰运国际速递,vipexpress,国际运输商
Voo,voo,国际运输商
Wadily,wadily,国际运输商
Wahana,wahana,国际运输商
WassalNow,wassalnow,国际运输商
WATT,watt,国内运输商
万达美,wdm,国内运输商
Wedel,wedel,国际运输商
wedepot物流,wedepot,国际运输商
世航通运,welogistics,国内运输商
Whistl,whistl,国际运输商
万邑通,winit,国内运输商
凡仕特物流,wlfast,国内运输商
星空国际,wlwex,国际运输商
wowexpress,wowexpress,国际运输商
渭鹏速递,wpost56,国内运输商
WTD海外通,wtdex,国际运输商
九洲物流,wxjzwl,国内运输商
欧利,wxolys,国内运输商
新宏达物流,xhongda56,国内运输商
祥龙运通物流,xianglongyuntong,国内运输商
翔腾物流,xiangteng,国内运输商
西安喜来快递,xilaikd,国内运输商
新元快递,xingyuankuaidi,国内运输商
鑫梦成,xinmengcheng,国内运输商
雄达国际物流,xiongda,国际运输商
西邮寄,xipost,国际运输商
快弟来了,xlair,国内运输商
Xpert Delivery,xpertdelivery,国际运输商
XpressBees,xpressbees,国际运输商
新骐点物流,xqd4000711238,国内运输商
鑫世锐达,xsrd,国内运输商
YCG物流,ycgglobal,国际运输商
一邦速递,yibangwuliu,国内运输商
EMAYYA,yidazhuanyun,国际运输商
驿递汇速递,yidihui,国内运输商
易航物流,yihangmall,国内运输商
yikonn,yikonn,国际运输商
亿领速运,yilingsuyun,国内运输商
亿隆速运,yilongex,国内运输商
英超物流,yingchao,国际运输商
银捷速递,yinjiesudi,国内运输商
易欧洲国际物流,yiouzhou,国际运输商
一起送,yiqisong,国内运输商
亿顺航,yishunhang,国际运输商
宜送,yisong,国内运输商
益加盛快递,yjs,国内运输商
亚历克斯供应链,ylkswl,国内运输商
邮驿帮高铁速运,youyibang,国内运输商
永世通物流,ystsd,国内运输商
元智捷诚,yuanzhijiecheng,国内运输商
志方物流,zfex56,国内运输商
途兴供应链,zgtux,国内运输商
众派速递,zhpex,国内运输商
逐电快运,zhudiankuaiyun,国内运输商
创运物流,zjcy56,国内运输商
振捷国际货运,zjgj56,国际运输商
中途国际速递,ztsdu,国内运输商
增速跨境 ,zyzoom,国际运输商
